,0
0,Colorado
1,Connecticut
2,Delaware
3,Georgia
4,Illinois
5,Indiana
6,Kansas
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,Nebraska
17,New Hampshire
18,New Jersey
19,New York
20,North Carolina
21,Oklahoma
22,Pennsylvania
23,Rhode Island
24,South Carolina
25,Tennessee
26,Utah
27,Vermont
28,Virginia
29,West Virginia
30,Wisconsin
31,Wyoming
